scenario_id,gnss_trust,vio_trust,sync_quality,localization_confidence,mission_confidence,primary_reason,expected_band,observed_band,failed_checks
s10_fusion_degraded_fused,0.59,0.823,1.0,0.7022710772833722,0.676,trust_inputs_nominal,medium,medium,
s11_fusion_denied_vio_only,0.05,0.825,1.0,0.7604166666666666,0.45,gnss_denial_suspected,medium,medium,
s12_fusion_dead_reckoning,0.05,0.092,1.0,0.0731377245508982,0.098,localization_confidence_low,low,low,
s13_sync_low_nominal,0.96,0.833,0.2,0.9134575450945885,0.882,sync_quality_low,high,high,
s14_sync_low_denied_good,0.05,0.823,0.2,0.7584398663697105,0.409,sync_quality_low,medium,low,band_mismatch
s15_safe_hold_timeout_abort,0.05,0.759,1.0,0.6952410071942446,0.433,gnss_denial_suspected,low,low,
s16_recovery_dwell_delays_resume,0.96,0.825,1.0,0.9108278145695364,0.92,trust_inputs_nominal,high,high,
s17_state_oscillation_safe_hold,0.59,0.833,1.0,0.7078224679860301,0.695,trust_inputs_nominal,medium,medium,
s18_abort_terminal,0.96,0.823,1.0,0.9101763146266018,0.92,trust_inputs_nominal,high,high,
s19_ew_mid_route_denial_hotspot,0.96,0.822,1.0,0.9098514588859417,0.904,trust_inputs_nominal,high,high,
s1_nominal,0.96,0.799,1.0,0.9025462259937472,0.913,trust_inputs_nominal,high,high,
s20_ew_decay_after_recovery,0.96,0.833,1.0,0.9134575450945885,0.922,trust_inputs_nominal,high,high,
s2_gnss_degraded_corridor,0.59,0.796,1.0,0.6875466983938132,0.666,trust_inputs_nominal,medium,medium,
s3_gnss_denied_zone,0.05,0.825,1.0,0.7604166666666666,0.45,gnss_denial_suspected,medium,medium,
s4_denied_vio_good,0.05,0.806,1.0,0.7416413166855845,0.441,gnss_denial_suspected,medium,low,band_mismatch
s5_denied_vio_weak,0.05,0.611,1.0,0.5496661807580175,0.345,gnss_denial_suspected,low,low,
s6_denied_vio_lost,0.05,0.092,1.0,0.0731377245508982,0.098,localization_confidence_low,low,low,
s7_conflict_score_dominates,0.05,0.073,1.0,0.061344594594594584,0.09,localization_confidence_low,low,low,
s8_conflict_state_dominates,0.05,0.825,1.0,0.7604166666666666,0.45,gnss_denial_suspected,low,medium,band_mismatch
s9_fusion_gnss_primary,0.96,0.825,1.0,0.9108278145695364,0.92,trust_inputs_nominal,high,high,
