scenario_id,ew_risk_level,max_risk,affected_cell_count,corridor_cost,primary_reason_code,risk_cells_hash,failed_checks
s10_fusion_degraded_fused,medium,0.35,1,0.048,ew_gnss_degraded_corridor,70400034fbbfd763e5f26c9b65297075e6ae39260fb354dfcd0a4fd9d2f9d438,
s11_fusion_denied_vio_only,high,0.95,1,0.129,ew_gnss_denial_hotspot,5e94b4313677b769a88754d8c62daa65025e4551b8991635d12b626f5a820b1a,
s12_fusion_dead_reckoning,high,0.95,1,0.129,ew_gnss_denial_hotspot,5e94b4313677b769a88754d8c62daa65025e4551b8991635d12b626f5a820b1a,
s13_sync_low_nominal,low,0.2,0,0.027,ew_sync_instability_corridor,6602b9eb6157d0ad3ea7d4849b446640d631e0b0f89e56260cdb12d6b73f14e1,
s14_sync_low_denied_good,high,1.0,1,0.119,ew_gnss_denial_hotspot,7585be179a7bfe3115d1a2ad92f11d452541afc71db1342c9a7a9e4819b45a2c,
s15_safe_hold_timeout_abort,high,0.95,4,0.314,ew_gnss_denial_hotspot,ecde7446b18c2d4be7371ae691528d2f56d0fec4bf1400b3b2150c84389127c7,
s16_recovery_dwell_delays_resume,high,0.686,1,0.139,ew_localization_instability,fbf29a42392caeb386f8acd8f983bbe7b2f3424358905f6b6e973fbe346fcc96,
s17_state_oscillation_safe_hold,medium,0.251,1,0.095,ew_gnss_degraded_corridor,63074420e489917e16a80de4501d87b089b27f0e8e8afd1414fda5e0e9c51a55,
s18_abort_terminal,high,0.686,1,0.136,ew_localization_instability,4cee9109b06d29b680fec408916db36588fb24e2d587bf79a93eef70c71cf163,
s19_ew_mid_route_denial_hotspot,high,0.552,4,0.191,ew_gnss_denial_hotspot,2ad92704d02360e1cfc2819641837d1f8acb00a31b1c1cab3183128a6c52e575,
s1_nominal,none,0.0,0,0.0,ew_risk_nominal,84ccd79aeaa00b83e2427e988c2c77bfb56f7aa327cee080980c3c0714cc5944,
s20_ew_decay_after_recovery,medium,0.422,1,0.083,ew_localization_instability,055079b0d73bbd873ea8614912e9d07faa142a7936fe65c6e58a106b78a9de2c,
s2_gnss_degraded_corridor,medium,0.35,1,0.042,ew_gnss_degraded_corridor,61568cb2b22618a9963efbbd07b06f302c151e3e6b46a1d836da6373bdfe587f,
s3_gnss_denied_zone,high,0.95,1,0.113,ew_gnss_denial_hotspot,18d19b5e90a395144bb8b20709c55adffaed208f1cb8b8bc107b375b095797e1,
s4_denied_vio_good,high,0.95,1,0.113,ew_gnss_denial_hotspot,18d19b5e90a395144bb8b20709c55adffaed208f1cb8b8bc107b375b095797e1,
s5_denied_vio_weak,high,0.95,1,0.113,ew_gnss_denial_hotspot,18d19b5e90a395144bb8b20709c55adffaed208f1cb8b8bc107b375b095797e1,
s6_denied_vio_lost,high,0.95,1,0.113,ew_gnss_denial_hotspot,18d19b5e90a395144bb8b20709c55adffaed208f1cb8b8bc107b375b095797e1,
s7_conflict_score_dominates,high,0.95,1,0.113,ew_gnss_denial_hotspot,18d19b5e90a395144bb8b20709c55adffaed208f1cb8b8bc107b375b095797e1,
s8_conflict_state_dominates,high,0.95,1,0.113,ew_gnss_denial_hotspot,18d19b5e90a395144bb8b20709c55adffaed208f1cb8b8bc107b375b095797e1,
s9_fusion_gnss_primary,none,0.0,0,0.0,ew_risk_nominal,84ccd79aeaa00b83e2427e988c2c77bfb56f7aa327cee080980c3c0714cc5944,
